,Unnamed: 0,id,price,heading,link,make,model,odometer_km,year,colour,location,engine_power_max_kW,engine_size_l,engine_fuel_type,engine_fuel_tank_l,engine_transmission,performace_0_to_100_s,performace_speed_max_kmph,economy_fuel_consumption_lpkm,economy_fuel_range_km,economy_CO2_gpkm,safety_ABS,safety_EBD,safety_brake_assist,safety_driver_airbag,safety_passenger_airbag,safety_airbag_quantity,features_bluetooth,features_aircon,specs_doors,specs_seats,specs_kerb_weight,history_num_owners,options,description,img_link
33,109,109,114900.0,2015 Toyota Etios 1.5 Xs 5Dr Manual for sale in Western Cape,www.cars.co.za/for-sale/used/2015-Toyota-Etios-1.5-Xs-5Dr-Manual-Western-Cape-Milnerton/5380587/,toyota,toyota etios,61000.0,2015.0,silver,western cape,66.0,1.5,p,45.0,m,11.3,165.0,6.0,750.0,138.0,True,True,False,True,True,2.0,False,True,5.0,5.0,920.0,,"
-
","We are so confident in the quality of this car, we offer a 7-day/700km return policy; Vehicle features include: Last Service: 30 September 2019 on 60 609km / 14” Tyres / Auxiliary // getWorth certified; finance available; nationwide delivery; Trade-ins welcome; price excludes service & delivery fee; please make an appointment to view.",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5380587.jpg?v=489046632
34,111,111,119900.0,2017 Renault Sandero 900 T expression for sale in Western Cape,www.cars.co.za/for-sale/used/2017-Renault-Sandero-900-T-expression-Western-Cape-Cape-Town/5433901/,renault,renault sandero,98734.0,2017.0,metallic  comet grey,western cape,66.0,0.9,p,50.0,m,11.1,169.0,5.2,962.0,119.0,True,True,True,True,True,2.0,True,True,5.0,5.0,1046.0,,"
Air Conditioner , Airbags , Power Steering , Electrical Window(front) , Central Locking , USB Port , Bluetooth Enabled , MP3-CD , Traction Control (ESP) , Telescopic steering , Isofix rear seats , Height adjustable steering , Anti-Lock Braking System , Manual Windows , Rev Counter , Steel Wheels , Cloth Seats , Hill Assist ","Estimated monthly payment is R 2 460 over 60 months with a 10% deposit of R 11 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5433901.jpg?v=1386815837
35,220,220,69950.0,2006 Nissan Micra 1.5 Dci Tekna 3dr (d66/69) for sale in Western Cape,www.cars.co.za/for-sale/used/2006-Nissan-Micra-1.5-Dci-Tekna-3dr-d6669-Western-Cape-Paarl/5356071/,nissan,nissan micra,102200.0,2006.0,silver,western cape,60.0,1.5,d,46.0,m,12.9,170.0,4.6,,,True,False,False,True,True,6.0,False,True,3.0,4.0,979.0,,"
-
","Nissan Micra 1.5dCi 3-door Tekna (July 2004 - April 2010) 

The specs below are based on the closest match to the advertised vehicle and exclude any additional options.

For more information on this vehicle please contact the dealer.




Overview



Engine 



Performance 



Economy 



Safety 



Features 



Specifications 





Overview


Engine
1.5 Diesel


Doors
3


Transmission
Manual


Fuel Consumption (Average)
4.6l/100km


Date introduced
July 2004




Engine


Power Max
60 Kw


Power Max rpm
4000 r/min


Torque Max
185 Nm


Torque Max rpm
2000 r/min


Engine Size
1.5 l


Cylinders
4 


Charger
Turbocharger 


Fuel Type
Diesel 


Transmission type
Manual 


Gear ratios quantity
5 


Gearshift
Manual 


Driven Wheels
Front 




Performance


0-100Kph
12.9 s


Top speed
170 Km/h




Economy


Average
4.6 l/100km


Urban
5.4 l/100km


Extra Urban
4 l/100km


Fuel tank capacity
46 l




Safety


ABS
✔


Driver airbag
✔


Passenger airbag
✔


Airbag quantity
6 




Features


Electric windows
✔


Power steering
✔


Central locking
✔


Air conditioning
✔


Climate control
✔


Cd player
✔


Auto on/off lights
✔


Front fog lights
✔


Rear fog lights
✔


High level brake light
✔


Rain sensor wipers
✔


On board trip computer
✔


Multi function steering wheel controls
✔


Alloy wheel
✔


Front tyres
185/50 R16 


Rear tyres
185/50 R16 




Specifications


Length
3715 mm


Width excl mirrors / Incl mirrors
1660 mm


Height
1540 mm


Wheelbase
2430 mm


Body shape
Hatch 


Seats quantity
4 


Doors
3 


Kerb weight
979 Kg


Load volume capacity
251-584 l





Disclaimer: Although utmost care is taken in supplying
accurate data and images, Cars.co.za, Duoporta management,
employees or sources may not be held responsible for any
errors, omissions or any loss incurred.",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5356071.jpg?v=3080894783
36,221,221,69990.0,2013 Peugeot 107 Urban for sale in Western Cape,www.cars.co.za/for-sale/used/2013-Peugeot-107-Urban-Western-Cape-Brackenfell/4852591/,peugeot,peugeot 107,132600.0,2013.0,silver,western cape,50.0,1.0,p,35.0,m,13.5,160.0,4.3,814.0,99.0,True,True,False,True,True,4.0,False,True,5.0,4.0,830.0,,"
Aircon, Air bags, Radio ","2013 Peugeot 107 UrbanGood condition, Airbags, Aircon, Radio & CDBESSIE BESTER MOTORS.co.zaFor Good Clean Used VehiclesOld Paarl Road BrackenfellTel:021-982 2991GPS Coordinates33.8724° S, 18.6991° ERMI / MIO / IDA MembersOn Average we have 60+ VehiclesCars / Bakkies / SUV’s / Buses / 4x4’s / Bikes We Buy / We Sell / We FinancePrivate 2 Private Auto FinanceSell your Car on consignmentTrade in’s Always WelcomeNo Deposit Deals PossibleExtended WarrantiesInsurance QuotesBank ApprovedFSP 28260We are People’s People / Open Door PolicyOwner Operated & InvolvementNo Stories.No Hidden AgendasWe want to put you in your Dream CarEffortless with a Win / Win OutcomeTalk to us We Want to Do DealsStriving to be Your Dealer of ChoiceGillmore Rhode:072-271 7255Albie Kotze :066-271 4674Robin Fester :060-661 6885Bessie Bester :082-659 9177Heinie Lombard:083-234 4044***STOCK URGENTLY REQUIRED***We Pay that Extra $$$ if it’s CLEAN!!!",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/4852591.jpg?v=2693937892
37,223,223,69990.0,2005 Audi A3 2.0 Fsi Ambition for sale in Western Cape,www.cars.co.za/for-sale/used/2005-Audi-A3-2.0-Fsi-Ambition-Western-Cape-Athlone/5416039/,audi,audi a3,181000.0,2005.0,silver,western cape,110.0,2.0,p,55.0,m,9.7,204.0,9.2,598.0,,True,True,True,True,True,4.0,False,True,3.0,5.0,1275.0,,"
ABS, Aircon, Electric Windows, Leather seats, Air bags, Radio ",2005 Audi A3 2.0 fsi Manual181000 kms Very Neat Inside & OutGet In & GoCash DealAccident Free Call Raeez: 071 111 2451 Naqeeb: 084 566 4229Kay: 072 189 0401,
38,224,224,69995.0,2010 Ford Figo 1.4 Tdci Ambiente for sale in Western Cape,www.cars.co.za/for-sale/used/2010-Ford-Figo-1.4-Tdci-Ambiente-Western-Cape-Parow/3519190/,ford,ford figo,154934.0,2010.0,silver,western cape,51.0,1.4,d,45.0,m,15.8,163.0,5.3,849.0,139.0,True,True,False,True,True,2.0,False,True,5.0,5.0,1100.0,,"
ABS Brakes,Air Conditioning,Airbags,Alloy Wheels,Central Locking,Electric Windows,Front Wheel Drive,Manual,Power Steering,Radio/CD ",*WHOLESALE ITEM*This vehicle can be bought with cash or we can arrange a personal loan.This vehicle cannot be financed.For more information please feel free to call us on 021 591 1252 to arrange a test drive,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/3519190.jpg?v=759304573
39,225,225,69995.0,2009 Hyundai i10 1.2 Gls for sale in Western Cape,www.cars.co.za/for-sale/used/2009-Hyundai-i10-1.2-Gls-Western-Cape-Kuils-River/4778907/,hyundai,hyundai i10,140000.0,2009.0,silver,western cape,55.0,1.2,p,35.0,m,12.8,163.0,5.6,625.0,132.0,False,False,False,False,False,,False,True,5.0,5.0,880.0,,"
Radio, Electric Windows, Aircon ","Finance can be applied for any vehicle through all major banks on condition that they approve the application for finance.We would gladly accept trade ins on this vehicle!!If interested please Contact Petrus Hayes on 0727984399 or mail me at petrus@capeautocentre.co.zaplease note that this price is still slightly negotiable, if you require finance additional cost will apply for on the road costs.All prices listed on Cars.co.za Are already VAT inclusive. We work hard to make you the best deal on the vehicle you have always wanted. After all, we know how we take care of you today determines your desire to do business with us in the future.",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/4778907.jpg?v=1963121709
40,227,227,69995.0,2012 Hyundai Atos 1.1 Gls for sale in Western Cape,www.cars.co.za/for-sale/used/2012-Hyundai-Atos-1.1-Gls-Western-Cape-Kuils-River/5160727/,hyundai,hyundai atos,162100.0,2012.0,silver,western cape,45.0,1.1,p,35.0,m,15.0,147.0,6.2,565.0,147.0,False,False,False,False,False,,False,True,5.0,4.0,797.0,,"
Air bags, Alarm, Aircon, Electric Windows, Radio, Full service record ","Finance can be applied for any vehicle through all major banks on condition that they approve the application for finance.We would gladly accept trade ins on this vehicle!!If interested please Contact Wesley Warner on 0832858802 or mail me at wesley@capeautocentre.co.zaIf you require finance additional cost will apply for on the road costs.All prices listed on Cars.co.za are already VAT inclusive. We work hard to make you the best deal on the vehicle you have always wanted. After all, we know how we take care of you today determines your desire to do business with us in the future.",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5160727.jpg?v=3310385747
41,228,228,69995.0,2006 Ford Fiesta 1.6i Ambiente 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2006-Ford-Fiesta-1.6i-Ambiente-5dr-Western-Cape/5273081/,ford,ford fiesta,189139.0,2006.0,black,western cape,74.0,1.6,p,45.0,a,14.1,188.0,10.0,,,True,False,False,True,True,2.0,False,True,5.0,5.0,1140.0,,"
Aircon, Electric Windows, Air bags, Radio ","WE OFFER VEHICLE FINANCE,180 VOORTREKKER ROAD,GOODWOOD,AIRCON,POWER STEERING,CENTRAL LOCKING,CD PLAYER,WE OFFER BLACKLISTED FINANCE AS WELL,CONTACT:SAM 076 537 6229ANGELO 076 437 8861",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5273081.jpg?v=2060637593
42,229,229,69995.0,2006 Ford Fiesta 1.6i Ambiente A/t 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2006-Ford-Fiesta-1.6i-Ambiente-At-5dr-Western-Cape/5273127/,ford,ford fiesta,162519.0,2006.0,silver,western cape,74.0,1.6,p,45.0,a,14.1,188.0,10.0,,,True,False,False,True,True,2.0,False,True,5.0,5.0,1140.0,,"
Aircon, Electric Windows, Air bags, Full service record, Radio ","WE DO VEHICLE FINANCE-180 VOORTREKKER ROAD-GOODWOOD-FULL SERVICE HISTORY,AIRCON,AIRBAGS,ELECTRIC WINDOWS,POWER STEERING,WE DO BLACKLISTED FINANCE AS WELL,CONTACT:SAM 076 537 6229ANGELO 076 437 8861",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5273127.jpg?v=2585649955
43,230,230,69995.0,2007 Hyundai Getz 1.4 Hs for sale in Western Cape,www.cars.co.za/for-sale/used/2007-Hyundai-Getz-1.4-Hs-Western-Cape-Ottery/5317171/,hyundai,hyundai getz,133472.0,2007.0,silver,western cape,71.0,1.4,p,45.0,m,11.2,174.0,7.0,643.0,157.0,True,False,False,True,True,2.0,False,True,5.0,5.0,1025.0,,"
Full service history partially by franchise Start up with this excellent go-getter! Light on fuel and is looking for the right owner to create new memorable journeys with. - ABS, Electronic brakeforce distribution, Air bags 2, Power steering, Steering adjustment, Onboard computer, Seats 5, Spare wheel FULLSIZE, Keyless entry, Air conditioner, Electric windows, Radio, Remote side mirrors, Fog lamps - front, Fuel UNLEADED, Engine TRANSVERSE INLINE 4, Engine size 1399cc, CO2 157g/Km, Power 70kW@600 ","Hyundai Getz 1.4 GL high-spec (January 2003 - February 2012) 

The specs below are based on the closest match to the advertised vehicle and exclude any additional options.

For more information on this vehicle please contact the dealer.




Overview



Engine 



Performance 



Economy 



Safety 



Features 



Specifications 





Overview


Engine
1.4 Petrol


Doors
5


Transmission
Manual


Fuel Consumption (Average)
7.0l/100km


Date introduced
January 2003




Engine


Power Max
71 Kw


Power Max rpm
6000 r/min


Torque Max
125 Nm


Torque Max rpm
3200 r/min


Engine Size
1.4 l


Cylinders
4 


Fuel Type
Petrol 


Engine Position / Location
Front 


Transmission type
Manual 


Gear ratios quantity
5 


Gearshift
Manual 


Driven Wheels
Front 




Performance


0-100Kph
11.2 s


Top speed
174 Km/h




Economy


Average
7.0 l/100km


Co2
157 g/km


Fuel range
643 Km


Fuel tank capacity
45 l




Safety


ABS
✔


Driver airbag
✔


Passenger airbag
✔


Airbag quantity
2 




Features


Electric windows
✔


Power steering
✔


Central locking
Remote 


Air conditioning
✔


Cd player
✔


Front fog lights
✔


High level brake light
✔


Front tyres
175/65 R14 T 


Rear tyres
175/65 R14 T 




Specifications


Length
3825 mm


Width excl mirrors / Incl mirrors
1665 mm


Height
1495 mm


Wheelbase
2455 mm


Ground clearance
145 mm


Body shape
Hatch 


Seats quantity
5 


Doors
5 


Kerb weight
1025 Kg


Load volume capacity
315-997 l





Disclaimer: Although utmost care is taken in supplying
accurate data and images, Cars.co.za, Duoporta management,
employees or sources may not be held responsible for any
errors, omissions or any loss incurred.",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5317171.jpg?v=3268488808
44,231,231,69995.0,2013 Chevrolet Spark Lite Ls 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2013-Chevrolet-Spark-Lite-Ls-5dr-Western-Cape-Kuils-River/5395201/,chevrolet,chevrolet spark,146000.0,2013.0,silver,western cape,49.0,1.0,p,35.0,m,15.4,154.0,5.8,603.0,135.0,False,False,False,True,False,1.0,False,True,5.0,4.0,830.0,,"
Radio, Aircon ","Estimated monthly payment is R 1 430 over 60 months with a 10% deposit of R 7 000
at a rate of 13% (PRIME + 3%) -
Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5395201.jpg?v=4291273420
45,232,232,69995.0,2012 Nissan Micra 1.2 Visia+ 5dr (d82) for sale in Western Cape,www.cars.co.za/for-sale/used/2012-Nissan-Micra-1.2-Visia-5dr-d82-Western-Cape-Kuils-River/5395339/,nissan,nissan micra,172000.0,2012.0,silver,western cape,56.0,1.2,p,41.0,m,13.2,166.0,5.2,789.0,124.0,True,True,True,True,True,4.0,False,True,5.0,5.0,909.0,,"
-
",CASH onlyNo finance,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5395339.jpg?v=3300657185
46,235,235,69995.0,2011 Hyundai Atos 1.1 Gls for sale in Western Cape,www.cars.co.za/for-sale/used/2011-Hyundai-Atos-1.1-Gls-Western-Cape-Bellville/5420543/,hyundai,hyundai atos,155555.0,2011.0,silver,western cape,45.0,1.1,p,35.0,m,15.0,147.0,6.2,565.0,147.0,False,False,False,False,False,,False,True,5.0,4.0,797.0,,"
Alarm, Aircon, Full service record, Electric Windows, Radio ",Contact Leon on 0733587501,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5420543.jpg?v=1136904304
47,236,236,69995.0,2014 Chevrolet Spark Lite Ls 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2014-Chevrolet-Spark-Lite-Ls-5dr-Western-Cape-Cape-Town/5451670/,chevrolet,chevrolet spark,114621.0,2014.0,silver,western cape,49.0,1.0,p,35.0,m,15.4,154.0,5.8,603.0,135.0,False,False,False,True,False,1.0,False,True,5.0,4.0,830.0,,"
-
","2014 CHEVROLET SPARK LITE LS 5DR, 114000KMS, CLOTH INTERIOR, MANUAL TRANSMISSION, FACTORY FITTED CD PLAYER WITH AUX, ELECTRIC WINDOWS, AIRCON, AIRBAGS, POWER STEERING, REMOTE CENTRAL LOCKING. IN EXCELLENT CONDITION. Trade ins Welcome, Finance Available. (Price excludes license, registration, document and delivery fees.)Craig - 064 189 1964 craig@sjcars.co.za | TK 0813164460 tk@sjcars.co.za | Wesley 0826104330 wesley@sjcars.co.za",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5451670.jpg?v=763296249
48,378,378,74995.0,2006 Volkswagen Polo 1.4 Trendline for sale in Western Cape,www.cars.co.za/for-sale/used/2006-Volkswagen-Polo-1.4-Trendline-Western-Cape-Cape-Town/4774747/,volkswagen,volkswagen polo,215000.0,2006.0,black,western cape,62.0,1.4,p,45.0,m,12.4,176.0,6.9,,,True,True,True,True,True,2.0,True,True,5.0,5.0,1089.0,,"
Radio, Alarm, Aircon ","This is a very reliable vehicle and drives very well , it is in a good condition inside and out. all paperwork in order and licence upto date , we have over 130 cars available for you to choose from . we also offer IN-HOUSE finance where you get to PAY DIRECTLY TO US with no banks involved (BANK FINANCE ALSO AVAILABLE) for more information contact : AMIER 0662979650 whatsapp friendly GEO 082 269 9882 OFFICE 021 465 2675",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/4774747.jpg?v=757636426
49,379,379,74995.0,2009 Toyota Yaris T1 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2009-Toyota-Yaris-T1-5dr-Western-Cape-Kuils-River/5012980/,toyota,toyota yaris,222500.0,2009.0,black,western cape,51.0,1.0,p,42.0,m,15.7,155.0,5.4,778.0,127.0,True,False,False,True,True,2.0,False,True,5.0,5.0,977.0,,"
Air bags, Radio ","Finance can be applied for any vehicle through all major banks on condition that they approve the application for finance.We would gladly accept trade ins on this vehicle!!If interested please Contact Wesley Warner on 0832858802 or mail me at wesley@capeautocentre.co.zaIf you require finance additional cost will apply for on the road costs.All prices listed on Cars.co.za Are already VAT inclusive. We work hard to make you the best deal on the vehicle you have always wanted. After all, we know how we take care of you today determines your desire to do business with us in the future.",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5012980.jpg?v=3030052304
50,380,380,69995.0,2015 Chevrolet Spark Lite Ls 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2015-Chevrolet-Spark-Lite-Ls-5dr-Western-Cape-Tygervalley/5063524/,chevrolet,chevrolet spark,67000.0,2015.0,silver,western cape,49.0,1.0,p,35.0,m,15.4,154.0,5.8,603.0,135.0,False,False,False,True,False,1.0,False,True,5.0,4.0,830.0,,"
-
","Estimated monthly payment is R 1 430 over 60 months with a 10% deposit of R 7 000
at a rate of 13% (PRIME + 3%) -
 Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5063524.jpg?v=1930674071
51,381,381,74995.0,2009 Hyundai Getz 1.6 Hs for sale in Western Cape,www.cars.co.za/for-sale/used/2009-Hyundai-Getz-1.6-Hs-Western-Cape/5337639/,hyundai,hyundai getz,165000.0,2009.0,grey,western cape,77.0,1.6,p,45.0,m,9.6,180.0,6.0,,,True,False,False,True,True,2.0,False,True,5.0,5.0,1027.0,,"
-
","WE OFFER VEHICLE FINANCE-180 VOORTREKKER ROAD-GOODWOOD-AIRCON,POWER STEERING,AIRBAGS,CENTRAL LOCKING ON KEY,RADIO/CD,FULL SERVICE HISTORY,WE DO BLACKLISTED FINANCE AS WELLCONTACT:SAM 076 537 6229ANGELO 076 437 8861",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5337639.jpg?v=1589644337
52,383,383,74999.0,2013 TATA Indica Vista 1.4 Ignis for sale in Western Cape,www.cars.co.za/for-sale/used/2013-TATA-Indica-Vista-1.4-Ignis-Western-Cape-Goodwood/5330173/,tata,tata indica,97753.0,2013.0,silver,western cape,66.0,1.4,p,44.0,m,13.5,155.0,6.7,657.0,157.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1055.0,,"
-
",REDLINE MOTORWORLDOFFERS YOU A 2013 TATA INDICA VISTA 1.4 IGNIS THIS VEHICLE INCLUDES-POWER STEERING -ELECTRIC WINDOWS -ELECTRIC MIRRORS -BLUETOOTH RADIO -HANDS FREE SET -CD PLAYER -USB & AUX PORT -CENTRAL LOCKING -TOWBAR VISIT OUR DEALER TODAY159 VOORTREKKER ROAD CALL US @ 021 591 2143OR DROP US AN EMAIL info@redlinemotorworld.co.za,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5330173.jpg?v=1122045463
53,388,388,79900.0,2011 Hyundai Getz 1.4 Hs for sale in Western Cape,www.cars.co.za/for-sale/used/2011-Hyundai-Getz-1.4-Hs-Western-Cape-Hermanus/5338661/,hyundai,hyundai getz,143500.0,2011.0,silver,western cape,71.0,1.4,p,45.0,m,11.2,174.0,7.0,643.0,157.0,True,False,False,True,True,2.0,False,True,5.0,5.0,1025.0,,"
-
",,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5338661.jpg?v=1963941904
54,389,389,79900.0,2011 Ford Figo 1.4 Ambiente for sale in Western Cape,www.cars.co.za/for-sale/used/2011-Ford-Figo-1.4-Ambiente-Western-Cape-Paarl/5359831/,ford,ford figo,198000.0,2011.0,silver,western cape,62.0,1.4,p,45.0,m,13.1,169.0,6.6,682.0,156.0,True,True,False,True,True,2.0,False,True,5.0,5.0,1070.0,,"
ABS, Air bags, Aircon ","VEHICLE IS AT 61 MAIN ROAD VREDENBURG WESTERN CAPE 7380Contact Marcel @ 022 715 4455 or on 083 730 6608. EMAIL : marcel@wheelspot.co.zaYou can reply on advert, but for more information or if you are interested call, email or whatsapp me directly.",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5359831.jpg?v=546322856
55,390,390,79950.0,2013 Chevrolet Spark 1.2 L 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2013-Chevrolet-Spark-1.2-L-5dr-Western-Cape-Vredenburg/5313307/,chevrolet,chevrolet spark,208445.0,2013.0,grey (armour),western cape,60.0,1.2,p,35.0,m,13.3,164.0,5.4,648.0,129.0,True,True,False,True,True,2.0,False,True,5.0,4.0,970.0,,"
Alloys; Central Locking; Electric Windows; Power Steering; Radio/CD ","Estimated monthly payment is R 1 640 over 60 months with a 10% deposit of R 8 000
at a rate of 13% (PRIME + 3%) -
Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5313307.jpg?v=4021515210
56,391,391,79990.0,2011 Ford Figo 1.4 Ambiente for sale in Western Cape,www.cars.co.za/for-sale/used/2011-Ford-Figo-1.4-Ambiente-Western-Cape-Bellville/5384707/,ford,ford figo,131000.0,2011.0,silver,western cape,62.0,1.4,p,45.0,m,13.1,169.0,6.6,682.0,156.0,True,True,False,True,True,2.0,False,True,5.0,5.0,1070.0,,"
ABS, Aircon, Air bags, Full service record ",very light on fuel and very economical to maintain,
57,392,392,69995.0,2011 Chevrolet Spark 1.2 L 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2011-Chevrolet-Spark-1.2-L-5dr-Western-Cape-Cape-Town/3158835/,chevrolet,chevrolet spark,122230.0,2011.0,silver,western cape,60.0,1.2,p,35.0,m,13.3,164.0,5.4,648.0,129.0,True,True,False,True,True,2.0,False,True,5.0,4.0,970.0,,"
-
",Wingfield Motors Multi-Point Checks.One of a Kind After Sales Service.Superbly looked after vehicles only.Wingfield makes friends with all customers.We can arrange Finance & Insurance for you.We will trade your car.We will create a pleasant buying experience.,
58,393,393,79995.0,2010 Hyundai Getz 1.4 Hs for sale in Western Cape,www.cars.co.za/for-sale/used/2010-Hyundai-Getz-1.4-Hs-Western-Cape-Parow/3718362/,hyundai,hyundai getz,157608.0,2010.0,silver,western cape,71.0,1.4,p,45.0,m,11.2,174.0,7.0,643.0,157.0,True,False,False,True,True,2.0,False,True,5.0,5.0,1025.0,,"
-
",FOR MORE INFORMATION ON THIS VEHICLE PLEASE CALL OUR KUILSRIVER BRANCH AT 021 903 2042.,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/3718362.jpg?v=735079742
59,394,394,79995.0,2012 Nissan Micra 1.2 Visia 5dr (d81) for sale in Western Cape,www.cars.co.za/for-sale/used/2012-Nissan-Micra-1.2-Visia-5dr-d81-Western-Cape-Western-Cape/3996013/,nissan,nissan micra,153850.0,2012.0,grey,western cape,56.0,1.2,p,41.0,m,13.2,166.0,5.2,789.0,124.0,True,True,True,True,True,2.0,False,False,5.0,5.0,894.0,,"
Aircon, Air bags, Radio, ABS ","Good value for money. For more info, contact Freddy on 0797734475",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/3996013.jpg?v=1640595499
60,395,395,79995.0,2008 Volkswagen Polo 1.6 Trendline for sale in Western Cape,www.cars.co.za/for-sale/used/2008-Volkswagen-Polo-1.6-Trendline-Western-Cape-Parow/5172701/,volkswagen,volkswagen polo,267000.0,2008.0,silver ,western cape,74.0,1.6,p,45.0,m,10.9,184.0,7.0,,,True,True,True,True,True,2.0,True,True,5.0,5.0,1109.0,,"
ABS, Aircon, Air bags, Alarm, Full service record, Radio ","AIRCONPOWER STEERINGSPARE KEYFULL SERVICE HISTORYELECTRIC WINDOWSWelcome to SSY AUTO please feel free to peruse our stockVEHICLE FINANCE AVAILABLE WITH MOST MAJOR BANKSROADWORTHY, LICENCE AND REGISTRATION OPTIONALMECHANICAL WARRANTY'S AVAILABLE.CAN ASSIST WITH FINANCENO DEPOSIT, NO DRIVERS LICENSE NEEDED(PERSONAL LOAN)UNABLE TO ASSIST BLACK LISTED CLIENTSBILAL 076 113 0542 (whatsapp friendly) Email:bilal@ssyauto.co.zaDAIYAAN 078 1953697 (whatsapp friendly) Email:daiyaan@ssyauto.co.zaCONTACT US ON 021 823 2833/4/5Visit our website to view all our stock:www.ssyauto.co.zaFIND US @ 67 VOORTREKKER ROAD PAROW CNR GIEL BASSONMon - Fri 08:00 - 17:00Sat - 08:00 - 13:00Sundays - closed",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5172701.jpg?v=220615205
61,397,397,79995.0,2017 TATA Indica 1.4 LGI LTD for sale  in Western Cape,www.cars.co.za/for-sale/used/2017-TATA-Indica-1.4-LGI-LTD-Western-Cape-Bellville/5261429/,tata,tata indica,60000.0,2017.0,silver,western cape,55.0,1.4,p,37.0,m,12.8,155.0,7.4,500.0,168.0,False,False,False,False,False,,True,True,5.0,5.0,1005.0,,"
Aircon, Radio, Full service record, Air bags ","Finance Available AND Trade-ins Welcome. Terms and conditions apply, errors and omissions excepted. Please click (More ads from this seller) to view more vehicles for sale at AUTOSPOT or visit www.autospot.co.zaAUTOSPOT, 68 STRAND ROAD STIKLAND, BELLVILLE021 949 0002 OR 0861 668 622 TOLL FREEPAUL - 082 724 6711 (Available on WhatsApp)OOM PIET - 082 489 8368GAVIN - 082 979 3429 (Available on WhatsApp)FRANCOIS – 081 714 8760 (Available on WhatsApp)",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5261429.jpg?v=1996683301
62,398,398,79995.0,2010 Hyundai Getz 1.4 Hs for sale in Western Cape,www.cars.co.za/for-sale/used/2010-Hyundai-Getz-1.4-Hs-Western-Cape-Brackenfell/5352183/,hyundai,hyundai getz,133893.0,2010.0,silver,western cape,71.0,1.4,p,45.0,m,11.2,174.0,7.0,643.0,157.0,True,False,False,True,True,2.0,False,True,5.0,5.0,1025.0,,"
Aircon, Electric Windows, Air bags ","POWER STEERING, REAR SCREEN WIPER, REAR SCREEN DEMISTER, CUP HOLDER, CENTRAL LOCKING, FOG LIGHTS, SPARE WHEEL, WHEEL SPANNERBODY STYLE: HATCH BACKINTERIOR COLOR: BLACK AND BLUETRIM: CLOTHTRANSMISSION: MANUALFUEL TYPE: PETROLNR OF DOORS: 5SERVICE HISTORY: NOSERVICE BOOKS: NOSPARE KEY: NOONE OWNER: NOTrade Ins Welcome & Finance Available with all major banksOptional products available:1 or 2 Year Mechanical Breakdown Warranty2 Year cover for minor exterior damage.Contact Victory Auto's Brandon SwartIf interested car's selling fast",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5352183.jpg?v=1011291719
63,401,401,79999.0,2012 Chevrolet Spark 1.2 L 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2012-Chevrolet-Spark-1.2-L-5dr-Western-Cape-Somerset-West/5445050/,chevrolet,chevrolet spark,75000.0,2012.0,black,western cape,60.0,1.2,p,35.0,m,13.3,164.0,5.4,648.0,129.0,True,True,False,True,True,2.0,False,True,5.0,4.0,970.0,,"
Spotlessly clean and neat as a pin.  ","ABS, Air bags, Aircon, Alarm, Climate control, Full service record, Radio",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5445050.jpg?v=3225640397
