,id,price,heading,link,make,model,odometer_km,year,colour,location,doors,fuel_consumption_lpkm,engine_power_max_kW,engine_size_l,engine_fuel_type,engine_fuel_tank_l,engine_transmission,performace_0_to_100_s,performace_speed_max_kmph,economy_fuel_consumption_lpkm,economy_fuel_range_km,economy_CO2_gpkm,safety_ABS,safety_EBD,safety_brake_assist,safety_driver_airbag,safety_passenger_airbag,safety_airbag_quantity,features_bluetooth,features_aircon,specs_doors,specs_seats,specs_kerb_weight,history_num_owners,options,description,img_link
86,86,114900.0,2014 Chevrolet Sonic 1.6 Ls 5dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2014-Chevrolet-Sonic-1.6-Ls-5dr-Western-Cape-Paarl/5413575/"">
Chevrolet Sonic 1.6 Ls 5dr </a>",Chevrolet,Chevrolet Sonic,135764.0,2014.0,grey,western cape,,,85.0,1.6,p,46.0,m,,189.0,6.5,708.0,155.0,True,True,False,True,True,4.0,True,True,5.0,5.0,1170.0,,,"Nationwide delivery can be arranged. All trade ins are welcomed. We can arrange FINANCE, We are approved with all major banks. All we need is: * 3x Latest payslips, * Latest month bank statement, * Copy of ID, * Copy of Drivers License, * Proof of Residential address(not older than 3 months).",
87,87,114900.0,2013 Volkswagen Polo Vivo 1.4 Blueline 5Dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2013-Volkswagen-Polo-Vivo-1.4-Blueline-5Dr-Western-Cape-Cape-Town/5430037/"">
Volkswagen Polo Vivo 1.4 Blueline 5Dr </a>",Volkswagen,Volkswagen Polo Vivo,111600.0,2013.0,silver,western cape,,,55.0,1.4,p,45.0,m,,170.0,5.4,833.0,138.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1058.0,,,"2013 VOLKSWAGEN POLO VIVO 1.4 BLUELINE - R114 900.00Full Service History, Air-con, CD/Radio/MP3, Power Steering, Remote Central Locking, Airbags, Bluetooth Make: VolkswagenModel: Polo Vivo 1.4 BluelinePrice: R114 900.00Body Type: HatchTransmission: ManualFuel: PetrolRegistration Year: 2013Colour: SilverMileage: 111 600 Km's",
88,88,114950.0,2015 Renault Sandero 900 T expression for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2015-Renault-Sandero-900-T-expression-Western-Cape-Vredenburg/5197273/"">
Renault Sandero 900 T expression </a>",Renault,Renault Sandero,88000.0,2015.0,silver,western cape,,,66.0,0.9,p,50.0,m,,169.0,5.2,962.0,119.0,True,True,True,True,True,2.0,True,True,5.0,5.0,1046.0,,,"Estimated monthly payment is R 2 350 over 60 months with a 10% deposit of R 11 500
at a rate of 13% (PRIME + 3%) -
Recalculate?",
89,89,114990.0,2016 Ford Figo 1.4 Trend for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2016-Ford-Figo-1.4-Trend-Western-Cape-Cape-Town/5455336/"">
Ford Figo 1.4 Trend </a>",Ford,Ford Figo,70945.0,2016.0,silver/grey,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,.,
90,90,114995.0,2009 Opel Corsa 1.6 Sport 5dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2009-Opel-Corsa-1.6-Sport-5dr-Western-Cape-Parow/5084712/"">
Opel Corsa 1.6 Sport 5dr </a>",Opel,Opel Corsa,108700.0,2009.0,silver,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"Price excludes licence, reg, doc & delivery fees Contact Mareldia 081 359 9123,J.C. 084 5709 124,Vincent 0629734510, landline 021-5920943 We offer finance through all the major banks.Trade-ins welcome.www.alpenauto.co.zaCheck out our Facebook page Alpen Autohaus CC",
91,91,114995.0,2019 Renault Kwid 1.0 Dynamique 5-Door for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2019-Renault-Kwid-1.0-Dynamique-5-Door-Western-Cape-Vredenburg/5298685/"">
Renault Kwid 1.0 Dynamique 5-Door </a>",Renault,Renault Kwid,15000.0,2019.0,silver,western cape,,,50.0,1.0,p,28.0,m,,152.0,4.7,596.0,112.0,False,False,False,True,False,1.0,True,True,5.0,5.0,695.0,,,"Estimated monthly payment is R 2 350 over 60 months with a 10% deposit of R 11 500
at a rate of 13% (PRIME + 3%) -
Recalculate?",
92,92,114995.0,2014 Volkswagen Polo Vivo 1.4 5Dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2014-Volkswagen-Polo-Vivo-1.4-5Dr-Western-Cape-Goodwood/5354773/"">
Volkswagen Polo Vivo 1.4 5Dr </a>",Volkswagen,Volkswagen Polo Vivo,85540.0,2014.0,grey,western cape,,,55.0,1.4,p,45.0,m,,171.0,6.2,726.0,147.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1049.0,,,"Estimated monthly payment is R 2 350 over 60 months with a 10% deposit of R 11 500
at a rate of 13% (PRIME + 3%) -
Recalculate?",
93,93,114995.0,2013 Volkswagen Polo Vivo 1.4 5Dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2013-Volkswagen-Polo-Vivo-1.4-5Dr-Western-Cape-Wynberg/5390791/"">
Volkswagen Polo Vivo 1.4 5Dr </a>",Volkswagen,Volkswagen Polo Vivo,77229.0,2013.0,silver,western cape,,,55.0,1.4,p,45.0,m,,171.0,6.2,726.0,147.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1049.0,,,"A great all hatch back, Safe, Reliable, Economical and practical. If you're in the market for a value for money hatch then look no further, this is the vehicle for you.2yr Prestige unlimited kilometre extended warranties and Finance available at all major banks. Trade ins welcome. Buy with confidence at a Blue Chip Dealer @ www.DrivingForce.biz Contact: Brent 0828728100 Glenn 0827795266 o/h 0217616757Driving Force360 Main Road, Wynberg021 761 6757www.drivingforce.bizProudly a member of the Blue Chip Group! Buy with Confidence",
94,94,115000.0,2011 MINI Cooper for sale  in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2011-MINI-Cooper-Western-Cape-Cape-Town/5208873/"">
MINI Cooper </a>",MINI,MINI Cooper,95265.0,2011.0,silver,western cape,,,90.0,1.6,p,40.0,m,,203.0,5.8,690.0,136.0,True,True,True,True,True,6.0,True,True,3.0,5.0,1150.0,,,"Estimated monthly payment is R 2 350 over 60 months with a 10% deposit of R 11 500
at a rate of 13% (PRIME + 3%) -
Recalculate?",
95,95,115000.0,2014 Toyota Etios Cross 1.5 Xs 5Dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2014-Toyota-Etios-Cross-1.5-Xs-5Dr-Western-Cape-Durbanville/5438769/"">
Toyota Etios Cross 1.5 Xs 5Dr </a>",Toyota,Toyota Etios,87000.0,2014.0,grey,western cape,,,66.0,1.5,p,45.0,m,,165.0,6.0,750.0,138.0,True,True,False,True,True,2.0,True,True,5.0,5.0,925.0,,,"Only 87 000kms with full agents service history. Beautifullylooked after vehcile. Accident-free. This is the Cross version. Spare keysRAdio/CD/Bleutooth SystemAirconditioner, PowersteeringPrice: R115 000 (Trade-ins are welcome and we arrange Wesbank Finance)Contact Jaco on 082 570 6220",
96,96,115900.0,2016 Hyundai i10 1.1 Gls for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2016-Hyundai-i10-1.1-Gls-Western-Cape-Paarl/5456500/"">
Hyundai i10 1.1 Gls </a>",Hyundai,Hyundai i10,49200.0,2016.0,silver ,western cape,,,50.0,1.1,p,35.0,m,,153.0,4.8,729.0,114.0,False,False,False,True,False,1.0,False,True,5.0,5.0,880.0,,,"Full service history, Radio/cd/Aux, Bluetooth, Electric windows&mirrors, Central locking, Aircon power steering, Fog lights, Multi function steering. Finance available and trade ins welcome. For more information, Contact: Jerome 082 3999 095, or Pieter 082 577 1761. Visit our website for more quality pre-owned vehicles at www.autodrome.co.za or follow us on Facebook https://www.facebook.com/AutodromePaarlWC/ Private to private finance also available at our dealership. For any queries regarding private finance, Contact: Juanita 021 872 9554.",
97,97,116900.0,2018 Renault Kwid 1.0 Dynamique 5-Door for sale in Western Cape,"<a class=""vehicle-list__vehicle-name vehicle-list__vehicle-name_featured"" href=""/for-sale/used/2018-Renault-Kwid-1.0-Dynamique-5-Door-Western-Cape-Cape-Town/5440414/"">
Renault Kwid 1.0 Dynamique 5-Door </a>",Renault,Renault Kwid,16540.0,2018.0,silver,western cape,,,50.0,1.0,p,28.0,m,,152.0,4.7,596.0,112.0,False,False,False,True,False,1.0,True,True,5.0,5.0,695.0,,,"AVAILABLE AT WYNBERG-CAPE TOWN Features: Features; 50kw 1.0l fuel efficient engine, Power-steering, Airbag (driver side), Front Electric Windows, Engine Immobilizer, Front Fog Lamps, 7\"" Multimedia touchscreen, FM/AM tuner with Bluetooth /USB/Aux, ABS anti-locking brakes, Balance of 5 Yr/150 000km Renault Warranty. AVAILABLE AT WYNBERG-CAPE TOWN Features: Features; 50kw 1.0l fuel efficient engine, Power-steering, Airbag (driver side), Front Electric Windows, Engine Immobilizer, Front Fog Lamps, 7\"" Multimedia touchscreen, FM/AM tuner with Bluetooth /USB/Aux, ABS anti-locking brakes, Balance of 5 Yr/150 000km Renault Warranty.",
98,98,119900.0,2019 Renault Kwid 1.0 Dynamique 5-Door for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2019-Renault-Kwid-1.0-Dynamique-5-Door-Western-Cape-Paarl/4376796/"">
Renault Kwid 1.0 Dynamique 5-Door </a>",Renault,Renault Kwid,8500.0,2019.0,silver,western cape,,,50.0,1.0,p,28.0,m,,152.0,4.7,596.0,112.0,False,False,False,True,False,1.0,True,True,5.0,5.0,695.0,,,"Own your own Kwid today, we have a Finance representative on site to assist with Finance applications and advise. Trade-ins welcome. Price excludes on the road fees.021 872 0751",
99,99,119900.0,2010 MINI Cooper for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2010-MINI-Cooper-Western-Cape-Bellville/4850651/"">
MINI Cooper </a>",MINI,MINI Cooper,141469.0,2010.0,black,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"Estimated monthly payment is R 2 460 over 60 months with a 10% deposit of R 11 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
100,100,119900.0,2019 Renault Kwid 1.0 Dynamique 5-Door for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2019-Renault-Kwid-1.0-Dynamique-5-Door-Western-Cape-Paarl/5026840/"">
Renault Kwid 1.0 Dynamique 5-Door </a>",Renault,Renault Kwid,15000.0,2019.0,silver,western cape,,,50.0,1.0,p,28.0,m,,152.0,4.7,596.0,112.0,False,False,False,True,False,1.0,True,True,5.0,5.0,695.0,,,"Estimated monthly payment is R 2 460 over 60 months with a 10% deposit of R 11 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
101,101,119900.0,2019 Datsun Go 1.2 LUX (AB) for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2019-Datsun-Go-1.2-LUX-AB-Western-Cape-Milnerton/5126357/"">
Datsun Go 1.2 LUX (AB) </a>",Datsun,Datsun Go,100.0,2019.0,titanium grey,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"Estimated monthly payment is R 2 460 over 60 months with a 10% deposit of R 11 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
102,102,119900.0,2019 Datsun Go 1.2 LUX (AB) for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2019-Datsun-Go-1.2-LUX-AB-Western-Cape-Milnerton/5126361/"">
Datsun Go 1.2 LUX (AB) </a>",Datsun,Datsun Go,150.0,2019.0,new silver,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"Estimated monthly payment is R 2 460 over 60 months with a 10% deposit of R 11 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
103,103,119900.0,2014 Volkswagen Polo Vivo 1.4 Trendline 5Dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2014-Volkswagen-Polo-Vivo-1.4-Trendline-5Dr-Western-Cape-Brackenfell/5230659/"">
Volkswagen Polo Vivo 1.4 Trendline 5Dr </a>",Volkswagen,Volkswagen Polo Vivo,111987.0,2014.0,silver,western cape,,,63.0,1.4,p,45.0,m,,177.0,6.2,726.0,147.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1061.0,,,Volkswagen Polo Vivo 1.4 Trendline 5dr It has a full service history and has an extended warranty available. A trade in will be accepted Finance can be arranged. This is a perfect family vehicle A 125 point quality inspection has been done.,
104,104,119900.0,2018 Nissan Micra 1.2 Active Visia+ for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2018-Nissan-Micra-1.2-Active-Visia-Western-Cape-Worcester/5245915/"">
Nissan Micra 1.2 Active Visia+ </a>",Nissan,Nissan Micra,43500.0,2018.0,silver,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,please phone gustav 0828745566,
105,105,119900.0,2016 Ford Figo 1.4 Tdci Ambiente for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2016-Ford-Figo-1.4-Tdci-Ambiente-Western-Cape-Hermanus/5288995/"">
Ford Figo 1.4 Tdci Ambiente </a>",Ford,Ford Figo,72832.0,2016.0,silver,western cape,,,,,d,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"At Rola VW Hermanus we pride ourselves in the service we offer by ensuring that every customer gets the better deal that suits their needs. All our vehicles will have the following done before handover to its proud new owner. Mechanical Check, Professional vehicle reconditioning, Valet, Mileage Certified, Service history confirmed, road worthy and Wheel Alignment. With the options available of Extended Warranty and Service Plan. We also accept trade ins and offer finance and insurance options that suite your needs. Feel free to contact us for more information and one of our friendly Sales Executives will contact you soon.",
106,106,119900.0,2018 Renault Kwid 1.0 Expression 5-Door for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2018-Renault-Kwid-1.0-Expression-5-Door-Western-Cape-Cape-Town/5325489/"">
Renault Kwid 1.0 Expression 5-Door </a>",Renault,Renault Kwid,44800.0,2018.0,grey,western cape,,,50.0,1.0,p,28.0,m,,152.0,4.7,596.0,112.0,False,False,False,True,False,1.0,True,True,5.0,5.0,693.0,,,"Estimated monthly payment is R 2 460 over 60 months with a 10% deposit of R 11 990
 at a rate of 13% (PRIME + 3%) -
Recalculate?",
107,107,119900.0,2010 Suzuki SX4 2.0 for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2010-Suzuki-SX4-2.0-Western-Cape-Tygervalley/5330041/"">
Suzuki SX4 2.0 </a>",Suzuki,Suzuki SX4,103000.0,2010.0,grey,western cape,,,112.0,2.0,p,50.0,m,,186.0,7.3,685.0,170.0,True,True,True,True,True,6.0,False,True,5.0,5.0,1245.0,,,"Estimated monthly payment is R 2 460 over 60 months with a 10% deposit of R 11 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
108,108,119900.0,2009 Opel Corsa 1.6 Sport 5dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2009-Opel-Corsa-1.6-Sport-5dr-Western-Cape-Somerset-West/5350825/"">
Opel Corsa 1.6 Sport 5dr </a>",Opel,Opel Corsa,129000.0,2009.0,black,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"Estimated monthly payment is R 2 460 over 60 months with a 10% deposit of R 11 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
109,109,119900.0,2015 Toyota Etios 1.5 Xs 5Dr Manual for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2015-Toyota-Etios-1.5-Xs-5Dr-Manual-Western-Cape-Milnerton/5380587/"">
Toyota Etios 1.5 Xs 5Dr Manual </a>",Toyota,Toyota Etios,61000.0,2015.0,silver,western cape,,,66.0,1.5,p,45.0,m,,165.0,6.0,750.0,138.0,True,True,False,True,True,2.0,False,True,5.0,5.0,920.0,,,"We are so confident in the quality of this car, we offer a 7-day/700km return policy; Vehicle features include: Last Service: 30 September 2019 on 60 609km / 14” Tyres / Auxiliary // getWorth certified; finance available; nationwide delivery; Trade-ins welcome; price excludes service & delivery fee; please make an appointment to view.",
110,110,119900.0,2015 Volkswagen Up Move UP 1.0 3-Door for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2015-Volkswagen-Up-Move-UP-1.0-3-Door-Western-Cape-Knysna/5403035/"">
Volkswagen Up Move UP 1.0 3-Door </a>",Volkswagen,Volkswagen Up,84000.0,2015.0,silver,western cape,,,55.0,1.0,p,35.0,m,,171.0,4.6,761.0,108.0,True,False,False,True,True,4.0,True,True,3.0,4.0,819.0,,,Great little vehicle very compact and very reliableBrilliant Condition125 Point Quality check done on the vehicleGreat fuel consumptionAll the tyres are very goodInterior is in prestine conditionExtended warranty and various other plans optional availableCintact Nico @ 0731888873,
111,111,119900.0,2017 Renault Sandero 900 T expression for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2017-Renault-Sandero-900-T-expression-Western-Cape-Cape-Town/5433901/"">
Renault Sandero 900 T expression </a>",Renault,Renault Sandero,98734.0,2017.0,metallic  comet grey,western cape,,,66.0,0.9,p,50.0,m,,169.0,5.2,962.0,119.0,True,True,True,True,True,2.0,True,True,5.0,5.0,1046.0,,,"Estimated monthly payment is R 2 460 over 60 months with a 10% deposit of R 11 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
112,112,119900.0,2013 Honda Jazz 1.3 Comfort Cvt Automatic for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2013-Honda-Jazz-1.3-Comfort-Cvt-Automatic-Western-Cape-Milnerton/5441020/"">
Honda Jazz 1.3 Comfort Cvt Automatic </a>",Honda,Honda Jazz,118000.0,2013.0,grey,western cape,,,73.0,1.3,p,42.0,a,,175.0,5.4,778.0,129.0,True,True,True,True,True,4.0,False,True,5.0,5.0,1053.0,,,"We are so confident in the quality of this car, we offer a 7-day/700km return policy; Vehicle features include: Last Service: 30 September 2019 on 117 341km / Auxiliary / Paddle Shift Gears / 15” Alloys // getWorth certified; finance available; nationwide delivery; Trade-ins welcome; price excludes service & delivery fee; please make an appointment to view.",
113,113,119900.0,2014 Volkswagen Polo Vivo 1.4 5Dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2014-Volkswagen-Polo-Vivo-1.4-5Dr-Western-Cape-Swellendam/5441758/"">
Volkswagen Polo Vivo 1.4 5Dr </a>",Volkswagen,Volkswagen Polo Vivo,120000.0,2014.0,silver,western cape,,,55.0,1.4,p,45.0,m,,171.0,6.2,726.0,147.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1049.0,,,Very Well Looked After!!Full Service History at VwComes with BooksExcellent Value for Money!!Excluding Licensing and RegistrationTrade-ins WelcomeFinance AvailableFeatures/Extras:Alloy WheelsSmash and GrabCloth SeatsAir ConditioningPower SteeringRemote Central Locking with AlarmRadio/Cd Player/USB/BluetoothExcellent Sound SystemABSAirbagsFor more information:Riaan: 078 254 9141 or riaang@autosuperb.co.za,
114,114,119900.0,2018 Suzuki Celerio 1.0 GA for sale in Western Cape,"<a class=""vehicle-list__vehicle-name vehicle-list__vehicle-name_featured"" href=""/for-sale/used/2018-Suzuki-Celerio-1.0-GA-Western-Cape-Stellenbosch/5443498/"">
Suzuki Celerio 1.0 GA </a>",Suzuki,Suzuki Celerio,14800.0,2018.0,silver,western cape,,,50.0,1.0,p,35.0,m,,155.0,4.7,745.0,110.0,True,True,False,True,True,2.0,False,True,5.0,5.0,835.0,,,"Estimated monthly payment is R 2 460 over 60 months with a 10% deposit of R 11 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
115,115,119950.0,2013 Opel Corsa 1.4 Essentia 5dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2013-Opel-Corsa-1.4-Essentia-5dr-Western-Cape-Vredenburg/5353369/"">
Opel Corsa 1.4 Essentia 5dr </a>",Opel,Opel Corsa,87347.0,2013.0,silver (lightning),western cape,,,74.0,1.4,p,45.0,m,,173.0,5.8,776.0,136.0,True,True,True,True,True,2.0,True,True,5.0,5.0,1130.0,,,"Estimated monthly payment is R 2 460 over 60 months with a 10% deposit of R 12 000
at a rate of 13% (PRIME + 3%) -
Recalculate?",
116,116,119950.0,2010 Volkswagen Polo 1.6 Comfortline 5dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name vehicle-list__vehicle-name_featured"" href=""/for-sale/used/2010-Volkswagen-Polo-1.6-Comfortline-5dr-Western-Cape-Cape-Town/5457420/"">
Volkswagen Polo 1.6 Comfortline 5dr </a>",Volkswagen,Volkswagen Polo,140126.0,2010.0,reflex silver metallic,western cape,,,77.0,1.6,p,45.0,m,,188.0,6.4,703.0,153.0,True,True,False,True,True,4.0,False,True,5.0,5.0,1056.0,,,"High level 3rd brake light,Cd player,Electric windows,Front ,column adjustment (reach depth in out),Bluetooth connectivity,Auxiliary input,Power steering,Central locking,Remote ,Air conditioning,USB port,Cup bottle holders,Rear ,Rear fog lamps,Steering column adjustment (rake / tilt / height / up / down),We can arrange delivery to any destination in SA ,This vehicle is an absolute steal and priced to go,Come and visit our dealership for a great selection of new and used cars for sale,",
117,117,119990.0,2010 Mazda 3 1.6 Sport Dynamic for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2010-Mazda-3-1.6-Sport-Dynamic-Western-Cape-Cape-Town/4725266/"">
Mazda 3 1.6 Sport Dynamic </a>",Mazda,Mazda 3,124000.0,2010.0,grey,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"Beautiful well looked after vehicle. One owner car with full service history. Fitted with alloy wheels, P/steering, C/locking, E/windows, Radio mp3 player and much more. All trade ins welcome. Finance and delivery will be arranged for u. INTERESTED?: CONTACT US ON 021 591 3164. VISIT OUR WWEBSITE AT mcmotors.co.za FOR MORE BEAUTIFUL CARS OR COME AND VIEW AT 38 VOORTREKKER ROAD, GOODWOOD.",
118,118,119990.0,2014 Ford Fiesta 1.4 Ambiente 5-Door for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2014-Ford-Fiesta-1.4-Ambiente-5-Door-Western-Cape-Brackenfell/4969790/"">
Ford Fiesta 1.4 Ambiente 5-Door </a>",Ford,Ford Fiesta,155833.0,2014.0,silver,western cape,,,71.0,1.4,p,42.0,m,,175.0,5.7,737.0,130.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1110.0,,,"2014 Ford Fiesta 1.4 AmbienteExcellent Condition, Full Service History @ Ford, Multi Function Steering,Aircon, E/Windows Central Locking, Radio/Cd/USB/AUX, Airbags.Trade-Ins Welcome, Finance Available.BESSIE BESTER MOTORS.co.zaFor Good Clean Used VehiclesOld Paarl Road BrackenfellTel:021-982 2991GPS Coordinates33.8724&amp;amp;#176; S, 18.6991&amp;amp;#176; ERMI / MIO / IDA MembersOn Average we have 60+ VehiclesCars / Bakkies / SUV’s / Buses / 4x4’s / Bikes We Buy / We Sell / We FinancePrivate 2 Private Auto FinanceSell your Car on consignmentTrade in’s Always WelcomeNo Deposit Deals PossibleExtended WarrantiesInsurance QuotesBank ApprovedFSP 28260We are People’s People / Open Door PolicyOwner Operated &amp;amp;amp; InvolvementNo Stories.No Hidden AgendasWe want to put you in your Dream CarEffortless with a Win / Win OutcomeTalk to us We Want to Do DealsStriving to be Your Dealer of ChoiceGillmore Rhode:072-271 7255Albie Kotze :066-271 4674Robin Fester :060-661 6885Bessie Bester :082-659 9177Heinie Lombard:083-234 4044***STOCK URGENTLY REQUIRED***We Pay that Extra $$$ if it’s CLEAN!!!",
119,119,119990.0,2014 Hyundai i20 1.2 Motion for sale in Western Cape,"<a class=""vehicle-list__vehicle-name vehicle-list__vehicle-name_featured"" href=""/for-sale/used/2014-Hyundai-i20-1.2-Motion-Western-Cape-Bellville/5137687/"">
Hyundai i20 1.2 Motion </a>",Hyundai,Hyundai i20,112000.0,2014.0,grey,western cape,,,64.0,1.2,p,45.0,m,,168.0,5.6,804.0,128.0,True,True,False,True,True,2.0,False,True,5.0,5.0,970.0,,,"very low kms,like new,very light on fuel,with mags",
120,120,119990.0,2017 Renault Kwid 1.0 Dynamique 5-Door for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2017-Renault-Kwid-1.0-Dynamique-5-Door-Western-Cape-Worcester/5350107/"">
Renault Kwid 1.0 Dynamique 5-Door </a>",Renault,Renault Kwid,21400.0,2017.0,grey,western cape,,,50.0,1.0,p,28.0,m,,152.0,4.7,596.0,112.0,False,False,False,True,False,1.0,True,True,5.0,5.0,695.0,,,2017 RENAULT KWID 1.0 DYNAMIQUEFINANCING AVAILABLE AT ALL MAJOR BANKSCONTACT HENRY ON 0823456671,
121,121,119990.0,2012 Nissan Livina 1.6 Acenta+ for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2012-Nissan-Livina-1.6-Acenta-Western-Cape-Tygervalley/5456522/"">
Nissan Livina 1.6 Acenta+ </a>",Nissan,Nissan Livina,91520.0,2012.0,silver,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,Priced right and ready to go.Finance available and trade-ins are welcome,
122,122,119995.0,2011 Opel Corsa 1.4 Sport 3dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2011-Opel-Corsa-1.4-Sport-3dr-Western-Cape-Goodwood/4928665/"">
Opel Corsa 1.4 Sport 3dr </a>",Opel,Opel Corsa,81000.0,2011.0,black,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"Estimated monthly payment is R 2 460 over 60 months with a 10% deposit of R 12 000
at a rate of 13% (PRIME + 3%) -
Recalculate?",
123,123,119995.0,2011 Dodge Caliber 2.4 Sxt for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2011-Dodge-Caliber-2.4-Sxt-Western-Cape-Bellville/4980810/"">
Dodge Caliber 2.4 Sxt </a>",Dodge,Dodge Caliber,161800.0,2011.0,silver,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,Contact Petrie 0792752906,
124,124,119995.0,2015 Toyota Etios 1.5 Xs 5dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2015-Toyota-Etios-1.5-Xs-5dr-Western-Cape-Parow/5254059/"">
Toyota Etios 1.5 Xs 5dr </a>",Toyota,Toyota Etios,61000.0,2015.0,grey,western cape,,,66.0,1.5,p,45.0,m,,165.0,6.0,750.0,138.0,True,True,False,True,True,2.0,False,True,5.0,5.0,920.0,,,"Welcome to SSY AUTO please feel free to peruse our stockVEHICLE FINANCE AVAILABLE WITH MOST MAJOR BANKSROADWORTHY, LICENCE AND REGISTRATION OPTIONALMECHANICAL WARRANTY'S AVAILABLE.CAN ASSIST WITH FINANCENO DEPOSIT, NO DRIVERS LICENSE NEEDED(PERSONAL LOAN)UNABLE TO ASSIST BLACK LISTED CLIENTSBILAL 076 113 0542 (whatsapp friendly) Email:bilal@ssyauto.co.zaDAIYAAN 078 1953697 (whatsapp friendly) Email:daiyaan@ssyauto.co.zaCONTACT US ON 021 823 2833/4/5Visit our website to view all our stock:www.ssyauto.co.zaFIND US @ 67 VOORTREKKER ROAD PAROW CNR GIEL BASSONMon - Fri 08:00 - 17:00Sat - 08:00 - 13:00Sundays - closed",
